Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
C,Dewayne Dedmon (26936699),Dewayne Dedmon,26936699,C/UTIL,3000,POR@PHI 03/10/2023 07:00PM ET,PHI,12.31
SG,Jaden Springer (26936701),Jaden Springer,26936701,SG/G/UTIL,3000,POR@PHI 03/10/2023 07:00PM ET,PHI,4.96
PF/C,Jabari Walker (26936812),Jabari Walker,26936812,PF/C/F/UTIL,3000,POR@PHI 03/10/2023 07:00PM ET,POR,6.38
C,John Butler (26936816),John Butler,26936816,C/UTIL,3000,POR@PHI 03/10/2023 07:00PM ET,POR,1.56
SF/PF,Kevin Knox II (26936818),Kevin Knox II,26936818,SF/PF/F/UTIL,3000,POR@PHI 03/10/2023 07:00PM ET,POR,9.52
SG/SF,Keon Johnson (26936822),Keon Johnson,26936822,SG/SF/F/G/UTIL,3000,POR@PHI 03/10/2023 07:00PM ET,POR,8.09
PG,Ryan Arcidiacono (26936827),Ryan Arcidiacono,26936827,PG/G/UTIL,3000,POR@PHI 03/10/2023 07:00PM ET,POR,2.93
C,Ibou Badji (26936830),Ibou Badji,26936830,C/UTIL,3000,POR@PHI 03/10/2023 07:00PM ET,POR,0
SF,Justise Winslow (26936832),Justise Winslow,26936832,SF/F/UTIL,3000,POR@PHI 03/10/2023 07:00PM ET,POR,20.46
PF/C,Wenyen Gabriel (26936704),Wenyen Gabriel,26936704,PF/C/F/UTIL,3000,TOR@LAL 03/10/2023 10:30PM ET,LAL,12.76
SG,Max Christie (26936708),Max Christie,26936708,SG/G/UTIL,3000,TOR@LAL 03/10/2023 10:30PM ET,LAL,7.77
PF,Cole Swider (26936711),Cole Swider,26936711,PF/F/UTIL,3000,TOR@LAL 03/10/2023 10:30PM ET,LAL,4.21
SG/SF,Davon Reed (26936714),Davon Reed,26936714,SG/SF/F/G/UTIL,3000,TOR@LAL 03/10/2023 10:30PM ET,LAL,5.78
PG,Scotty Pippen Jr. (26936719),Scotty Pippen Jr.,26936719,PG/G/UTIL,3000,TOR@LAL 03/10/2023 10:30PM ET,LAL,4.58
SF/PF,Thaddeus Young (26936835),Thaddeus Young,26936835,SF/PF/F/UTIL,3000,TOR@LAL 03/10/2023 10:30PM ET,TOR,12.43
PG/SG,Jeff Dowtin (26936839),Jeff Dowtin,26936839,PG/SG/G/UTIL,3000,TOR@LAL 03/10/2023 10:30PM ET,TOR,5.54
PG,Malachi Flynn (26936843),Malachi Flynn,26936843,PG/G/UTIL,3000,TOR@LAL 03/10/2023 10:30PM ET,TOR,10.14
PF,Ron Harper Jr. (26936846),Ron Harper Jr.,26936846,PF/F/UTIL,3000,TOR@LAL 03/10/2023 10:30PM ET,TOR,3.38
PG/SF,Joe Wieskamp (26936849),Joe Wieskamp,26936849,PG/SF/F/G/UTIL,3000,TOR@LAL 03/10/2023 10:30PM ET,TOR,4.67
C,Christian Koloko (26936854),Christian Koloko,26936854,C/UTIL,3000,TOR@LAL 03/10/2023 10:30PM ET,TOR,10.61
PG,Dalano Banton (26936856),Dalano Banton,26936856,PG/G/UTIL,3000,TOR@LAL 03/10/2023 10:30PM ET,TOR,9.52
SG/SF,Will Barton (26936859),Will Barton,26936859,SG/SF/F/G/UTIL,3000,TOR@LAL 03/10/2023 10:30PM ET,TOR,15.18
PF,Otto Porter Jr. (26936864),Otto Porter Jr.,26936864,PF/F/UTIL,3000,TOR@LAL 03/10/2023 10:30PM ET,TOR,12.84
C,Gorgui Dieng (26936747),Gorgui Dieng,26936747,C/UTIL,3000,DEN@SAS 03/10/2023 08:00PM ET,SAS,9.28
SG,Julian Champagnie (26936749),Julian Champagnie,26936749,SG/G/UTIL,3000,DEN@SAS 03/10/2023 08:00PM ET,SAS,6.06
C,Khem Birch (26936752),Khem Birch,26936752,C/UTIL,3000,DEN@SAS 03/10/2023 08:00PM ET,SAS,5.06
SG/SF,Romeo Langford (26936754),Romeo Langford,26936754,SG/SF/F/G/UTIL,3000,DEN@SAS 03/10/2023 08:00PM ET,SAS,14.34
C,DeAndre Jordan (26936889),DeAndre Jordan,26936889,C/UTIL,3000,DEN@SAS 03/10/2023 08:00PM ET,DEN,13.33
PG,Ish Smith (26936891),Ish Smith,26936891,PG/G/UTIL,3000,DEN@SAS 03/10/2023 08:00PM ET,DEN,8.10
SG,Peyton Watson (26936894),Peyton Watson,26936894,SG/G/UTIL,3000,DEN@SAS 03/10/2023 08:00PM ET,DEN,2.54
PF,Jack White (26936897),Jack White,26936897,PF/F/UTIL,3000,DEN@SAS 03/10/2023 08:00PM ET,DEN,2.73
SG/SF,Christian Braun (26936900),Christian Braun,26936900,SG/SF/F/G/UTIL,3000,DEN@SAS 03/10/2023 08:00PM ET,DEN,9.40
PF/C,Zeke Nnaji (26936905),Zeke Nnaji,26936905,PF/C/F/UTIL,3000,DEN@SAS 03/10/2023 08:00PM ET,DEN,9.84
PG,Collin Gillespie (26936909),Collin Gillespie,26936909,PG/G/UTIL,3000,DEN@SAS 03/10/2023 08:00PM ET,DEN,0
