Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
QB,Cole McDonald (26905336),Cole McDonald,26905336,QB,6300,HOU@ORL 03/11/2023 07:00PM ET,HOU,4.64
RB,Rod Smith (26905361),Rod Smith,26905361,RB/FLEX,6300,VGS@DC 03/12/2023 07:00PM ET,VGS,4
WR,Jalen Tolliver (26905429),Jalen Tolliver,26905429,WR/TE/FLEX,6200,SA@SEA 03/11/2023 10:00PM ET,SA,10
RB,Keith Ford (26905363),Keith Ford,26905363,RB/FLEX,6200,ARL@STL 03/12/2023 04:00PM ET,ARL,1.75
QB,Kaleb Eleby (26905337),Kaleb Eleby,26905337,QB,6000,HOU@ORL 03/11/2023 07:00PM ET,HOU,0
QB,Steven Montez (26905339),Steven Montez,26905339,QB,6000,SA@SEA 03/11/2023 10:00PM ET,SEA,0.24
QB,Jawon Pass (26905344),Jawon Pass,26905344,QB,6000,SA@SEA 03/11/2023 10:00PM ET,SA,0
QB,Reid Sinnett (26905345),Reid Sinnett,26905345,QB,6000,SA@SEA 03/11/2023 10:00PM ET,SA,0
QB,Harrison Frost (26905346),Harrison Frost,26905346,QB,6000,SA@SEA 03/11/2023 10:00PM ET,SEA,0
QB,Nick Tiano (26905340),Nick Tiano,26905340,QB,6000,ARL@STL 03/12/2023 04:00PM ET,STL,0
QB,Manny Wilkins (26905342),Manny Wilkins,26905342,QB,6000,ARL@STL 03/12/2023 04:00PM ET,STL,0
QB,Kevin Anderson (26905343),Kevin Anderson,26905343,QB,6000,ARL@STL 03/12/2023 04:00PM ET,ARL,0
RB,Mataeo Durant (26905365),Mataeo Durant,26905365,RB/FLEX,6000,ARL@STL 03/12/2023 04:00PM ET,STL,4.57
WR,Austin Proehl (26905431),Austin Proehl,26905431,WR/TE/FLEX,6000,ARL@STL 03/12/2023 04:00PM ET,STL,9.6
QB,Jalan McClendon (26905338),Jalan McClendon,26905338,QB,6000,VGS@DC 03/12/2023 07:00PM ET,VGS,0
QB,Eric Dungey (26905341),Eric Dungey,26905341,QB,6000,VGS@DC 03/12/2023 07:00PM ET,DC,0
WR,Brandon Arconado (26905433),Brandon Arconado,26905433,WR/TE/FLEX,5800,ARL@STL 03/12/2023 04:00PM ET,ARL,4.63
TE,Cody Latimer (26905507),Cody Latimer,26905507,WR/TE/FLEX,5600,HOU@ORL 03/11/2023 07:00PM ET,ORL,14.5
RB,Brenden Knox (26905367),Brenden Knox,26905367,RB/FLEX,5600,SA@SEA 03/11/2023 10:00PM ET,SEA,5.3
WR,Travell Harris (26905435),Travell Harris,26905435,WR/TE/FLEX,5300,HOU@ORL 03/11/2023 07:00PM ET,HOU,8.3
WR,Andrew Jamiel (26905437),Andrew Jamiel,26905437,WR/TE/FLEX,5200,HOU@ORL 03/11/2023 07:00PM ET,ORL,9.15
RB,Jacques Patrick (26905369),Jacques Patrick,26905369,RB/FLEX,5200,SA@SEA 03/11/2023 10:00PM ET,SA,5.73
WR,Jequez Ezzard (26905439),Jequez Ezzard,26905439,WR/TE/FLEX,5100,VGS@DC 03/12/2023 07:00PM ET,DC,0
DST,Renegades  (26905549),Renegades ,26905549,DST,5000,ARL@STL 03/12/2023 04:00PM ET,ARL,13.67
RB,John Lovett (26905371),John Lovett,26905371,RB/FLEX,4900,VGS@DC 03/12/2023 07:00PM ET,VGS,6.2
DST,Roughnecks  (26905550),Roughnecks ,26905550,DST,4800,HOU@ORL 03/11/2023 07:00PM ET,HOU,12.67
WR,Lucky Jackson (26905441),Lucky Jackson,26905441,WR/TE/FLEX,4700,VGS@DC 03/12/2023 07:00PM ET,DC,9
WR,Tyler Vaughns (26905443),Tyler Vaughns,26905443,WR/TE/FLEX,4600,ARL@STL 03/12/2023 04:00PM ET,ARL,8.23
DST,Defenders  (26905551),Defenders ,26905551,DST,4600,VGS@DC 03/12/2023 07:00PM ET,DC,14.67
WR,Chris Blair (26905445),Chris Blair,26905445,WR/TE/FLEX,4500,VGS@DC 03/12/2023 07:00PM ET,DC,6.7
WR,George Campbell (26905447),George Campbell,26905447,WR/TE/FLEX,4400,ARL@STL 03/12/2023 04:00PM ET,STL,2.1
WR,Ben Putman (26905449),Ben Putman,26905449,WR/TE/FLEX,4300,HOU@ORL 03/11/2023 07:00PM ET,HOU,4.77
WR,Steven Mitchell Jr. (26905451),Steven Mitchell Jr.,26905451,WR/TE/FLEX,4300,ARL@STL 03/12/2023 04:00PM ET,STL,7.65
RB,Ryquell Armstead (26905373),Ryquell Armstead,26905373,RB/FLEX,4300,VGS@DC 03/12/2023 07:00PM ET,DC,4.77
WR,Jordan Veasy (26905453),Jordan Veasy,26905453,WR/TE/FLEX,4200,SA@SEA 03/11/2023 10:00PM ET,SEA,7.43
WR,Cedric Byrd II (26905455),Cedric Byrd II,26905455,WR/TE/FLEX,4100,HOU@ORL 03/11/2023 07:00PM ET,HOU,7.27
DST,BattleHawks  (26905552),BattleHawks ,26905552,DST,4100,ARL@STL 03/12/2023 04:00PM ET,STL,7
WR,Cinque Sweeting (26905457),Cinque Sweeting,26905457,WR/TE/FLEX,4000,VGS@DC 03/12/2023 07:00PM ET,VGS,7.67
WR,Darece Roberson Jr. (26905461),Darece Roberson Jr.,26905461,WR/TE/FLEX,3900,SA@SEA 03/11/2023 10:00PM ET,SA,7.8
DST,Sea Dragons  (26905553),Sea Dragons ,26905553,DST,3900,SA@SEA 03/11/2023 10:00PM ET,SEA,2.67
