Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
RP,Liam Hendriks (26944535),Liam Hendriks,26944535,P,4500,CWS@CHC 03/10/2023 03:03PM ET,CWS,4.18
1B,Eric Hosmer (26944536),Eric Hosmer,26944536,1B,4500,CWS@CHC 03/10/2023 03:03PM ET,CHC,6.26
SP,Lance Lynn (26944538),Lance Lynn,26944538,P,4500,CWS@CHC 03/10/2023 03:03PM ET,CWS,17.00
2B/SS,Leury Garcia (26944546),Leury Garcia,26944546,2B/SS,4500,CWS@CHC 03/10/2023 03:03PM ET,CWS,3.84
RP,Joe Kelly (26944549),Joe Kelly,26944549,P,4500,CWS@CHC 03/10/2023 03:03PM ET,CWS,2.47
C,Tucker Barnhart (26944550),Tucker Barnhart,26944550,C,4500,CWS@CHC 03/10/2023 03:03PM ET,CHC,3.5
C,Yan Gomes (26944551),Yan Gomes,26944551,C,4500,CWS@CHC 03/10/2023 03:03PM ET,CHC,4.88
SP,Marcus Stroman (26944554),Marcus Stroman,26944554,P,4500,CWS@CHC 03/10/2023 03:03PM ET,CHC,15.18
SP,Jameson Taillon (26944565),Jameson Taillon,26944565,P,4500,CWS@CHC 03/10/2023 03:03PM ET,CHC,14.05
SP,Drew Smyly (26944569),Drew Smyly,26944569,P,4500,CWS@CHC 03/10/2023 03:03PM ET,CHC,13.09
RP,Rowan Wick (26944575),Rowan Wick,26944575,P,4500,CWS@CHC 03/10/2023 03:03PM ET,CHC,2.70
SP,Kyle Hendricks (26944579),Kyle Hendricks,26944579,P,4500,CWS@CHC 03/10/2023 03:03PM ET,CHC,11.28
SP,Michael Fulmer (26944584),Michael Fulmer,26944584,P,4500,CWS@CHC 03/10/2023 03:03PM ET,CHC,2.72
SP,Mike Clevinger (26944591),Mike Clevinger,26944591,P,4500,CWS@CHC 03/10/2023 03:03PM ET,CWS,10.39
SP,Adrian Sampson (26944594),Adrian Sampson,26944594,P,4500,CWS@CHC 03/10/2023 03:03PM ET,CHC,11.75
RP,Nick Burdi (26944598),Nick Burdi,26944598,P,4500,CWS@CHC 03/10/2023 03:03PM ET,CHC,0
RP,Aaron Bummer (26944599),Aaron Bummer,26944599,P,4500,CWS@CHC 03/10/2023 03:03PM ET,CWS,2.78
RP,Kendall Graveman (26944606),Kendall Graveman,26944606,P,4500,CWS@CHC 03/10/2023 03:03PM ET,CWS,2.89
RP,Jose Ruiz (26944611),Jose Ruiz,26944611,P,4500,CWS@CHC 03/10/2023 03:03PM ET,CWS,2.59
3B/OF,Patrick Wisdom (26944614),Patrick Wisdom,26944614,3B/OF,4500,CWS@CHC 03/10/2023 03:03PM ET,CHC,7.10
SP,Lucas Giolito (26944616),Lucas Giolito,26944616,P,4500,CWS@CHC 03/10/2023 03:03PM ET,CWS,14.80
SS,Dansby Swanson (26944625),Dansby Swanson,26944625,SS,4500,CWS@CHC 03/10/2023 03:03PM ET,CHC,8.28
RP,Reynaldo Lopez (26944626),Reynaldo Lopez,26944626,P,4500,CWS@CHC 03/10/2023 03:03PM ET,CWS,3.59
1B/OF,Trey Mancini (26944627),Trey Mancini,26944627,1B/OF,4500,CWS@CHC 03/10/2023 03:03PM ET,CHC,6.15
OF,Seiya Suzuki (26944632),Seiya Suzuki,26944632,OF,4500,CWS@CHC 03/10/2023 03:03PM ET,CHC,7.26
SP,Adbert Alzolay (26944635),Adbert Alzolay,26944635,P,4500,CWS@CHC 03/10/2023 03:03PM ET,CHC,9.8
SS,Tim Anderson (26944640),Tim Anderson,26944640,SS,4500,CWS@CHC 03/10/2023 03:03PM ET,CWS,7.86
OF,Cody Bellinger (26944647),Cody Bellinger,26944647,OF,4500,CWS@CHC 03/10/2023 03:03PM ET,CHC,6.46
